"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", -5, 4, 1, 0
"c:\Users\XLR8\Documents\node projects\wires\src\api\wire_node.ts", "TypeScript", 7, 3, 1, 11
"c:\Users\XLR8\Documents\node projects\wires\src\api\wires.ts", "TypeScript", 128, 24, 19, 171
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\node.ts", "TypeScript", 4, 0, 1, 5
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\widget.ts", "TypeScript", -1, 0, 0, -1
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", -104, -26, -17, -147
"Total", "-", 29, 5, 5, 39
