"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", -6, 0, 0, -6
"c:\Users\XLR8\Documents\node projects\wires\src\api\wires.ts", "TypeScript", 24, 0, 1, 25
"c:\Users\XLR8\Documents\node projects\wires\src\internal\internal_nodes.ts", "TypeScript", 33, 0, 5, 38
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", 2, 0, 0, 2
"Total", "-", 53, 0, 6, 59
