"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\decorators.ts", "TypeScript", 11, 0, 0, 0, 11
"c:\Users\XLR8\Documents\node projects\wires\src\api\draggable_ui_element.ts", "TypeScript", 34, 0, 5, 7, 46
"c:\Users\XLR8\Documents\node projects\wires\src\api\global_node_registry.ts", "TypeScript", 18, 0, 0, 5, 23
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_explorer.ts", "TypeScript", 65, 0, 1, 6, 72
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_field_controller.ts", "TypeScript", 10, 0, 0, 3, 13
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", 114, 0, 0, 16, 130
"c:\Users\XLR8\Documents\node projects\wires\src\api\wire_node.ts", "TypeScript", 57, 0, 0, 12, 69
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\node.ts", "TypeScript", 24, 0, 3, 5, 32
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\widget.ts", "TypeScript", 22, 0, 0, 6, 28
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", 31, 0, 1, 7, 39
"c:\Users\XLR8\Documents\node projects\wires\src\styles\main.css", "CSS", 0, 131, 4, 23, 158
"c:\Users\XLR8\Documents\node projects\wires\src\tags\tags.ts", "TypeScript", 88, 0, 0, 9, 97
"Total", "-", 474, 131, 14, 99, 718
