"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\data_board.ts", "TypeScript", 209, 0, 1, 33, 243
"c:\Users\XLR8\Documents\node projects\wires\src\api\decorators.ts", "TypeScript", 26, 0, 6, 3, 35
"c:\Users\XLR8\Documents\node projects\wires\src\api\draggable_ui_element.ts", "TypeScript", 55, 0, 6, 7, 68
"c:\Users\XLR8\Documents\node projects\wires\src\api\global_node_registry.ts", "TypeScript", 44, 0, 17, 10, 71
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_explorer.ts", "TypeScript", 194, 0, 2, 20, 216
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_field_controller.ts", "TypeScript", 13, 0, 0, 4, 17
"c:\Users\XLR8\Documents\node projects\wires\src\api\status-bar.ts", "TypeScript", 97, 0, 0, 14, 111
"c:\Users\XLR8\Documents\node projects\wires\src\api\unique_id_gen.ts", "TypeScript", 8, 0, 0, 0, 8
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", 497, 0, 15, 51, 563
"c:\Users\XLR8\Documents\node projects\wires\src\api\wire_node.ts", "TypeScript", 191, 0, 8, 27, 226
"c:\Users\XLR8\Documents\node projects\wires\src\api\wires.ts", "TypeScript", 213, 0, 47, 28, 288
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\node.ts", "TypeScript", 37, 0, 3, 8, 48
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\widget.ts", "TypeScript", 40, 0, 0, 9, 49
"c:\Users\XLR8\Documents\node projects\wires\src\internal\internal_nodes.ts", "TypeScript", 229, 0, 0, 18, 247
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", 23, 0, 0, 5, 28
"c:\Users\XLR8\Documents\node projects\wires\src\styles\main.css", "CSS", 0, 247, 11, 41, 299
"c:\Users\XLR8\Documents\node projects\wires\src\styles\ui\databoard.css", "CSS", 0, 40, 0, 6, 46
"c:\Users\XLR8\Documents\node projects\wires\src\styles\ui\status-bar.css", "CSS", 0, 50, 1, 8, 59
"c:\Users\XLR8\Documents\node projects\wires\src\styles\widgets\checkbox.css", "CSS", 0, 42, 0, 5, 47
"c:\Users\XLR8\Documents\node projects\wires\src\styles\widgets\divider.css", "CSS", 0, 5, 0, 0, 5
"c:\Users\XLR8\Documents\node projects\wires\src\styles\widgets\dropdown.css", "CSS", 0, 24, 0, 3, 27
"c:\Users\XLR8\Documents\node projects\wires\src\transpiler\node_tree.ts", "TypeScript", 43, 0, 0, 7, 50
"Total", "-", 1919, 408, 117, 307, 2751
