"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\draggable_ui_element.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\XLR8\Documents\node projects\wires\src\api\global_node_registry.ts", "TypeScript", 3, 0, 1, -1, 3
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", 99, 0, 7, 5, 111
"c:\Users\XLR8\Documents\node projects\wires\src\api\wire_node.ts", "TypeScript", 2, 0, 0, 0, 2
"c:\Users\XLR8\Documents\node projects\wires\src\api\wires.ts", "TypeScript", -14, 0, 23, 0, 9
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\node.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", 7, 0, 0, 0, 7
"c:\Users\XLR8\Documents\node projects\wires\src\styles\main.css", "CSS", 0, -3, 0, -1, -4
"Total", "-", 99, -3, 31, 3, 130
