"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\data_board.ts", "TypeScript", 28, 0, 0, 8, 36
"c:\Users\XLR8\Documents\node projects\wires\src\api\decorators.ts", "TypeScript", 11, 0, 0, 0, 11
"c:\Users\XLR8\Documents\node projects\wires\src\api\draggable_ui_element.ts", "TypeScript", 48, 0, 6, 7, 61
"c:\Users\XLR8\Documents\node projects\wires\src\api\global_node_registry.ts", "TypeScript", 44, 0, 17, 10, 71
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_explorer.ts", "TypeScript", 105, 0, 17, 12, 134
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_field_controller.ts", "TypeScript", 13, 0, 0, 4, 17
"c:\Users\XLR8\Documents\node projects\wires\src\api\unique_id_gen.ts", "TypeScript", 8, 0, 0, 0, 8
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", 394, 0, 15, 44, 453
"c:\Users\XLR8\Documents\node projects\wires\src\api\wire_node.ts", "TypeScript", 110, 0, 6, 20, 136
"c:\Users\XLR8\Documents\node projects\wires\src\api\wires.ts", "TypeScript", 114, 0, 47, 19, 180
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\node.ts", "TypeScript", 35, 0, 3, 8, 46
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\widget.ts", "TypeScript", 26, 0, 0, 8, 34
"c:\Users\XLR8\Documents\node projects\wires\src\internal\internal_nodes.ts", "TypeScript", 231, 0, 0, 19, 250
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", 22, 0, 0, 5, 27
"c:\Users\XLR8\Documents\node projects\wires\src\styles\main.css", "CSS", 0, 208, 9, 37, 254
"c:\Users\XLR8\Documents\node projects\wires\src\transpiler\graph_connection_map.ts", "TypeScript", 18, 0, 0, 3, 21
"Total", "-", 1207, 208, 120, 204, 1739
